DMS_id,Uniprot_Name,Uniprot_ID,uniprotkb,protein_length
BLAT_ECOLX_Stiffler_2015,BLAT_ECOLX,P62593,True,286
BBC1_YEAST_Tsuboyama_2023_1TG0,BBC1_YEAST,P47068,True,1157
SBI_STAAM_Tsuboyama_2023_2JVG,SBI_STAAM,Q931F4,True,426
PTEN_HUMAN_Matreyek_2021,PTEN_HUMAN,P60484,True,403
HIS7_YEAST_Pokusaeva_2019,HIS7_YEAST,P06633,True,220
BLAT_ECOLX_Jacquier_2013,BLAT_ECOLX,P62593,True,286
DLG4_HUMAN_Faure_2021,DLG4_HUMAN,P78352,True,724
RDRP_I33A0_Li_2023,RDRP_I33A0,P03430,True,757
VRPI_BPT7_Tsuboyama_2023_2WNM,VRPI_BPT7,P03704,True,64
DYR_ECOLI_Nguyen_2023,DYR_ECOLI,P0ABQ4,True,159
CBPA2_HUMAN_Tsuboyama_2023_1O6X,CBPA2_HUMAN,P48052,True,419
VILI_CHICK_Tsuboyama_2023_1YU5,VILI_CHICK,P02640,True,826
Q6WV13_9MAXI_Somermeyer_2022,Q6WV13_9MAXI,Q6WV13,False,222
AMFR_HUMAN_Tsuboyama_2023_4G3O,AMFR_HUMAN,Q9UKV5,True,643
RPC1_LAMBD_Li_2019_high-expression,RPC1_LAMBD,P03034,True,237
KCNH2_HUMAN_Kozek_2020,KCNH2_HUMAN,Q12809,True,1159
CP2C9_HUMAN_Amorosi_2021_activity,CP2C9_HUMAN,P11712,True,490
RS15_GEOSE_Tsuboyama_2023_1A32,RS15_GEOSE,P05766,True,89
YAIA_ECOLI_Tsuboyama_2023_2KVT,YAIA_ECOLI,P0AAN5,True,63
CALM1_HUMAN_Weile_2017,CALM1_HUMAN,P0DP23,True,149
OTC_HUMAN_Lo_2023,OTC_HUMAN,P00480,True,354
ACE2_HUMAN_Chan_2020,ACE2_HUMAN,Q9BYF1,True,805
CASP7_HUMAN_Roychowdhury_2020,CASP7_HUMAN,P55210,True,303
SRC_HUMAN_Nguyen_2022,SRC_HUMAN,P12931,True,536
CASP3_HUMAN_Roychowdhury_2020,CASP3_HUMAN,P42574,True,277
CSN4_MOUSE_Tsuboyama_2023_1UFM,CSN4_MOUSE,O88544,True,406
TNKS2_HUMAN_Tsuboyama_2023_5JRT,TNKS2_HUMAN,Q9H2K2,True,1166
TRPC_THEMA_Chan_2017,TRPC_THEMA,Q56319,True,252
RAF1_HUMAN_Zinkus-Boltz_2019,RAF1_HUMAN,P04049,True,648
BCHB_CHLTE_Tsuboyama_2023_2KRU,BCHB_CHLTE,Q9F715,True,537
SUMO1_HUMAN_Weile_2017,SUMO1_HUMAN,P63165,True,101
TPMT_HUMAN_Matreyek_2018,TPMT_HUMAN,P51580,True,245
TAT_HV1BR_Fernandes_2016,TAT_HV1BR,P04610,True,86
GDIA_HUMAN_Silverstein_2021,GDIA_HUMAN,P31150,True,447
CBS_HUMAN_Sun_2020,CBS_HUMAN,P35520,True,551
KKA2_KLEPN_Melnikov_2014,KKA2_KLEPN,P00552,True,264
P53_HUMAN_Kotler_2018,P53_HUMAN,P04637,True,393
PIN1_HUMAN_Tsuboyama_2023_1I6C,PIN1_HUMAN,Q13526,True,163
TADBP_HUMAN_Bolognesi_2019,TADBP_HUMAN,Q13148,True,414
HSP82_YEAST_Flynn_2019,HSP82_YEAST,P02829,True,709
ADRB2_HUMAN_Jones_2020,ADRB2_HUMAN,P07550,True,413
NCAP_I34A1_Doud_2015,NCAP_I34A1,P03466,True,498
NUSG_MYCTU_Tsuboyama_2023_2MI6,NUSG_MYCTU,P9WIU9,True,238
SRC_HUMAN_Ahler_2019,SRC_HUMAN,P12931,True,536
PKN1_HUMAN_Tsuboyama_2023_1URF,PKN1_HUMAN,Q16512,True,942
GFP_AEQVI_Sarkisyan_2016,GFP_AEQVI,P42212,True,238
POLG_CXB3N_Mattenberger_2021,POLG_CXB3N,P03313,True,2185
TPOR_HUMAN_Bridgford_2020,TPOR_HUMAN,P40238,True,635
RASK_HUMAN_Weng_2022_abundance,RASK_HUMAN,P01116,True,189
KCNJ2_MOUSE_Coyote-Maestas_2022_surface,KCNJ2_MOUSE,P35561,True,428
SC6A4_HUMAN_Young_2021,SC6A4_HUMAN,P31645,True,630
OTU7A_HUMAN_Tsuboyama_2023_2L2D,OTU7A_HUMAN,Q8TE49,True,926
YNZC_BACSU_Tsuboyama_2023_2JVD,YNZC_BACSU,O31818,True,77
SPG2_STRSG_Tsuboyama_2023_5UBS,SPG2_STRSG,P19909,True,593
CAR11_HUMAN_Meitlis_2020_gof,CAR11_HUMAN,Q9BXL7,True,1154
KCNJ2_MOUSE_Coyote-Maestas_2022_function,KCNJ2_MOUSE,P35561,True,428
NRAM_I33A0_Jiang_2016,NRAM_I33A0,P03470,True,453
PPARG_HUMAN_Majithia_2016,PPARG_HUMAN,P37231,True,505
DOCK1_MOUSE_Tsuboyama_2023_2M0Y,DOCK1_MOUSE,Q8BUR4,True,1865
ESTA_BACSU_Nutschel_2020,ESTA_BACSU,P37957,True,212
A4D664_9INFA_Soh_2019,A4D664_9INFA,A4D664,False,759
Q59976_STRSQ_Romero_2015,Q59976_STRSQ,Q59976,False,479
A0A2Z5U3Z0_9INFA_Wu_2014,A0A2Z5U3Z0_9INFA,A0A2Z5U3Z0,False,565
UBE4B_MOUSE_Starita_2013,UBE4B_MOUSE,Q9ES00,True,1173
RFAH_ECOLI_Tsuboyama_2023_2LCL,RFAH_ECOLI,P0AFW0,True,162
POLG_DEN26_Suphatrakul_2023,POLG_DEN26,P29990,True,3391
RL40A_YEAST_Roscoe_2013,RL40A_YEAST,P0CH08,True,128
A4_HUMAN_Seuma_2022,A4_HUMAN,P05067,True,770
POLG_PESV_Tsuboyama_2023_2MXD,POLG_PESV,Q9QEJ5,True,2254
EPHB2_HUMAN_Tsuboyama_2023_1F0M,EPHB2_HUMAN,P29323,True,1055
RL40A_YEAST_Roscoe_2014,RL40A_YEAST,P0CH08,True,128
RCD1_ARATH_Tsuboyama_2023_5OAO,RCD1_ARATH,Q8RY59,True,589
HCP_LAMBD_Tsuboyama_2023_2L6Q,HCP_LAMBD,P68660,True,68
CAPSD_AAV2S_Sinai_2021,CAPSD_AAV2S,P03135,True,735
AACC1_PSEAI_Dandage_2018,AACC1_PSEAI,P23181,True,177
PRKN_HUMAN_Clausen_2023,PRKN_HUMAN,O60260,True,465
R1AB_SARS2_Flynn_2022,R1AB_SARS2,P0DTD1,True,7096
SPIKE_SARS2_Starr_2020_binding,SPIKE_SARS2,P0DTC2,True,1273
RD23A_HUMAN_Tsuboyama_2023_1IFY,RD23A_HUMAN,P54725,True,363
P53_HUMAN_Giacomelli_2018_Null_Nutlin,P53_HUMAN,P04637,True,393
VKOR1_HUMAN_Chiasson_2020_activity,VKOR1_HUMAN,Q9BQB6,True,163
NUSA_ECOLI_Tsuboyama_2023_1WCL,NUSA_ECOLI,P0AFF6,True,495
SPTN1_CHICK_Tsuboyama_2023_1TUD,SPTN1_CHICK,P07751,True,2477
FECA_ECOLI_Tsuboyama_2023_2D1U,FECA_ECOLI,P13036,True,774
IF1_ECOLI_Kelsic_2016,IF1_ECOLI,P69222,True,72
ENV_HV1BR_Haddox_2016,ENV_HV1BR,P03377,True,861
MET_HUMAN_Estevam_2023,MET_HUMAN,P08581,True,1390
A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,A0A1I9GEU1,False,161
PPM1D_HUMAN_Miller_2022,PPM1D_HUMAN,O15297,True,605
Q53Z42_HUMAN_McShan_2019_binding-TAPBPR,Q53Z42_HUMAN,Q53Z42,False,365
HMDH_HUMAN_Jiang_2019,HMDH_HUMAN,P04035,True,888
BLAT_ECOLX_Firnberg_2014,BLAT_ECOLX,P62593,True,286
POLG_HCVJF_Qi_2014,POLG_HCVJF,Q99IB8,True,3033
SR43C_ARATH_Tsuboyama_2023_2N88,SR43C_ARATH,O22265,True,373
HECD1_HUMAN_Tsuboyama_2023_3DKM,HECD1_HUMAN,Q9ULT8,True,2610
SPG1_STRSG_Wu_2016,SPG1_STRSG,P06654,True,448
Q53Z42_HUMAN_McShan_2019_expression,Q53Z42_HUMAN,Q53Z42,False,365
HXK4_HUMAN_Gersing_2022_activity,HXK4_HUMAN,P35557,True,465
SHOC2_HUMAN_Kwon_2022,SHOC2_HUMAN,Q9UQ13,True,582
CUE1_YEAST_Tsuboyama_2023_2MYX,CUE1_YEAST,P38428,True,203
A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,A0A192B1T2,False,852
AICDA_HUMAN_Gajula_2014_3cycles,AICDA_HUMAN,Q9GZX7,True,198
DN7A_SACS2_Tsuboyama_2023_1JIC,DN7A_SACS2,P61991,True,64
BRCA1_HUMAN_Findlay_2018,BRCA1_HUMAN,P38398,True,1863
ENVZ_ECOLI_Ghose_2023,ENVZ_ECOLI,P0AEJ4,True,450
HEM3_HUMAN_Loggerenberg_2023,HEM3_HUMAN,P08397,True,361
RL20_AQUAE_Tsuboyama_2023_1GYZ,RL20_AQUAE,O67086,True,118
CD19_HUMAN_Klesmith_2019_FMC_singles,CD19_HUMAN,P15391,True,556
SCIN_STAAR_Tsuboyama_2023_2QFF,SCIN_STAAR,Q6GFB4,True,116
